ders_kodu,dersinadi,ogretimyili,donem,LLM_METIN
BİM122,Discrete Computational Structures (Kesikli Matematiksel Yapılar),2024-2025,BAHAR,"DERS KODU: BİM122 | DERS ADI: Discrete Computational Structures (Kesikli Matematiksel Yapılar)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 2, KREDİ: 5.0
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: Matematiksel Mantık ve Küme Teorisine Bakış; İspat Yöntemleri; Doğrudan İspat; Dolaylı İspat; Bölme Algoritması; Seriler ve Matematiksel Tesir; Sayma; Bağıntı; Bağıntıların Özellikleri; Eşitlik Bağıntıları; Kısmi Bağıntılar; Fonksiyonlar; Fonksiyon Çeşitleri; Fonksiyonların Oluşturulması; Asallık ve Sayılabilirlik; Cebirsel Sistemler; Duality Prensibi; Homomorfizm ve İzomorfizm; Lattice'ler; Boolean Cebir; Boolean İfadeler; Graflar ve Yönlendirilmiş Graflar; Yol ve Devreler; Grafların Matris Gösterimi; Ağaçlar; Köklü Ağaçlar; İkilik Sistemde Cebir; Gruplar; Grupların Temel Özellikleri; Sonlu Durumlu Makinalar ve Diller.
---
"
BİM437,Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım),2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 8/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM444,Bilgisayar Mühendisliği Uygulamaları,2024-2025,GÜZ,"DERS KODU: BİM444 | DERS ADI: Bilgisayar Mühendisliği Uygulamaları
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 2/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM444,Bilgisayar Mühendisliği Uygulamaları,2024-2025,BAHAR,"DERS KODU: BİM444 | DERS ADI: Bilgisayar Mühendisliği Uygulamaları
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 8/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM444,Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları),2024-2025,GÜZ,"DERS KODU: BİM444 | DERS ADI: Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 2/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM444,Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları),2024-2025,BAHAR,"DERS KODU: BİM444 | DERS ADI: Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 8/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM466,Fuzzy Logic (Bulanık Mantık),2024-2025,GÜZ,"DERS KODU: BİM466 | DERS ADI: Fuzzy Logic (Bulanık Mantık)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 82/0
- DETAYLI İÇERİK: Bulanık Kümeler ve Temel Bulanık Küme İşlemleri; Bulanık Bağıntı ve Genişleme Prensibi; Dilsel Değişkenler; Bulanık Mantık ve Yaklaşık Muhakeme; Bulanık Kural Tabanı; Bulanık Karar Mekanizması; Bulanıklaştırıcı ve Arındırıcılar; Lineer Olmayan Tasarımcı Bulanık Sistemler; Giriş-çıkış Veri Seti İle Bulanık Sistem Tasarımı; Tabloya Bakma Planlaması; Gradyan Tabanlı Eğitim; Bulanık Gruplandırma.
---
"
BİM466,Bulanık Mantık,2024-2025,GÜZ,"DERS KODU: BİM466 | DERS ADI: Bulanık Mantık
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 82/0
- DETAYLI İÇERİK: Bulanık Kümeler ve Temel Bulanık Küme İşlemleri; Bulanık Bağıntı ve Genişleme Prensibi; Dilsel Değişkenler; Bulanık Mantık ve Yaklaşık Muhakeme; Bulanık Kural Tabanı; Bulanık Karar Mekanizması; Bulanıklaştırıcı ve Arındırıcılar; Lineer Olmayan Tasarımcı Bulanık Sistemler; Giriş-çıkış Veri Seti İle Bulanık Sistem Tasarımı; Tabloya Bakma Planlaması; Gradyan Tabanlı Eğitim; Bulanık Gruplandırma.
---
"
BİM461,Introduction to Cloud Computing (Bulut Hesaplamaya Giriş),2024-2025,GÜZ,"DERS KODU: BİM461 | DERS ADI: Introduction to Cloud Computing (Bulut Hesaplamaya Giriş)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 81/1
- DETAYLI İÇERİK: Bulut Kavramlarına Genel Bakış: Bulutun avantajları, Bulut hizmetlerine giriş; Bulut Ekonomisi ve Faturalandırma: Fiyatlandırmanın temelleri, Toplam sahip olma maliyeti, Faturalandırma ve maliyet yönetimi; Küresel Altyapı; Bulut Güvenliği: Paylaşılan sorumluluk modeli, Hesapların güvenliğini sağlama, Verilerin güvenliğini sağlama; Ağ Oluşturma ve İçerik Dağıtımı: Ağ oluşturma temelleri, Sanal özel bulut; Hesaplama Hizmetleri; Depolama Hizmetleri; Veri Tabanı Hizmetleri; Bulut Mimarisi; Otomatik Ölçeklendirme ve İzleme.
---
"
BİM444,Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları),2024-2025,BAHAR,"DERS KODU: BİM444 | DERS ADI: Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 9/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM444,Bilgisayar Mühendisliği Uygulamaları,2024-2025,BAHAR,"DERS KODU: BİM444 | DERS ADI: Bilgisayar Mühendisliği Uygulamaları
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 9/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM437,Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım),2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 9/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM324,Computer Networks (Bilgisayar Ağları),2024-2025,BAHAR,"DERS KODU: BİM324 | DERS ADI: Computer Networks (Bilgisayar Ağları)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 6, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 9999/1
- DETAYLI İÇERİK: ISO Referans Modeli Temelleri: Katmanlı ağ mantığı; Fiziksel Katman Temelleri: Bit-Rate, Baud-Rate, Modulasyon, Kodlama; Veri Bağlantı Katman Temelleri: Çerçeveleme, CSMA/CD; Ağ Katmanı Protokolleri: IPv4 ve IPv6, Paket gönderme ve yönlendirme, Çoklu gönderme; Gönderme Katmanı Protokolleri: UDP, TCP, SCTP, Sıkışıklık kontrolü, Güvenli paket gönderme protokolleri; Uygulama Katmanı Protokolleri: HTTP, FTP, SMTP, P2P dosya paylaşma protokolleri.
---
"
BİM437,Bilgisayar Mühendisliği için Tasarım,2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Bilgisayar Mühendisliği için Tasarım
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 9/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM488,Örüntü Tanımaya Giriş,2024-2025,GÜZ,"DERS KODU: BİM488 | DERS ADI: Örüntü Tanımaya Giriş
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 80/0
- DETAYLI İÇERİK: Örüntü Tanıma Sisteminin Bileşenleri: Örüntü, Öznitelik Çıkartımı, Sınıflandırma; Olasılık ve Doğrusal Cebir; Bayes Temelli Sınıflandırıcılar: Bayes Sınıflandırıcı, Basit Bayes Sınıflandırıcı, En Küçük Uzaklık Sınıflandırıcıları; Doğrusal Sınıflandırıcılar: Doğrusal Ayırtaç Analizi, Perseptron Algoritması; Doğrusal Olmayan Sınıflandırıcılar: Karar Ağaçları; Sınıflandırma Başarımının Analizi; Metin Tanıma; Konuşma Tanıma; Görüntü Tanıma.
---
"
BİM488,Introduction to Pattern Recognition (Örüntü Tanımaya Giriş),2024-2025,GÜZ,"DERS KODU: BİM488 | DERS ADI: Introduction to Pattern Recognition (Örüntü Tanımaya Giriş)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 80/0
- DETAYLI İÇERİK: Örüntü Tanıma Sisteminin Bileşenleri: Örüntü, Öznitelik Çıkartımı, Sınıflandırma; Olasılık ve Doğrusal Cebir; Bayes Temelli Sınıflandırıcılar: Bayes Sınıflandırıcı, Basit Bayes Sınıflandırıcı, En Küçük Uzaklık Sınıflandırıcıları; Doğrusal Sınıflandırıcılar: Doğrusal Ayırtaç Analizi, Perseptron Algoritması; Doğrusal Olmayan Sınıflandırıcılar: Karar Ağaçları; Sınıflandırma Başarımının Analizi; Metin Tanıma; Konuşma Tanıma; Görüntü Tanıma.
---
"
FİZ105,Fizik I,2024-2025,BAHAR,"DERS KODU: FİZ105 | DERS ADI: Fizik I
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 2, KREDİ: 6.0
- KONTENJAN (Toplam/Birim İçi): 50/50
- DETAYLI İÇERİK: Ölçme ve Birimler: Ölçme, Birimler, Boyut analizi; Vektörler: Vektör ve skaler nicelikler, Koordinat sistemleri ve referans çerçeveleri; Kinematik: Tek boyutlu hareket, İki boyutlu hareket; Dinamik; İş ve Enerji; Momentum ve Çarpışmalar; Dönme Hareketi: Açısal hız ve açısal ivme, Eylemsizlik momentleri, Dönme hareketinde iş ve enerji; Statik denge.
---
"
FİZ105,Physics I (Fizik I),2024-2025,BAHAR,"DERS KODU: FİZ105 | DERS ADI: Physics I (Fizik I)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 2, KREDİ: 6.0
- KONTENJAN (Toplam/Birim İçi): 50/50
- DETAYLI İÇERİK: Ölçme ve Birimler: Ölçme, Birimler, Boyut analizi; Vektörler: Vektör ve skaler nicelikler, Koordinat sistemleri ve referans çerçeveleri; Kinematik: Tek boyutlu hareket, İki boyutlu hareket; Dinamik; İş ve Enerji; Momentum ve Çarpışmalar; Dönme Hareketi: Açısal hız ve açısal ivme, Eylemsizlik momentleri, Dönme hareketinde iş ve enerji; Statik denge.
---
"
BİM496,Computer Vision (Bilgisayarla Görme),2024-2025,BAHAR,"DERS KODU: BİM496 | DERS ADI: Computer Vision (Bilgisayarla Görme)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 70/1
- DETAYLI İÇERİK: Görüntü Oluşumu ve Görüntü Algılama; İkili Görüntü: Geometrik özellikleri, Topolojik özellikleri; Bölge ve Görüntü Bölütleme; Görüntü İşleme: Kenar algılama, Kontur çıkarma, Renk; Hareket Alanı ve Optik Akış; Çiftli Eşleştirme; Üç Boyutlu Görüntü Analizi: Tonlamadan şekil elde etme, Projeksiyonlardan görüntü oluşturma; Örüntü Sınıflandırma ve Nesne Tanıma; İzleme.
---
"
BİM305,Computer Organization (Bilgisayar Organizasyonu),2024-2025,GÜZ,"DERS KODU: BİM305 | DERS ADI: Computer Organization (Bilgisayar Organizasyonu)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 5, KREDİ: 5.0
- KONTENJAN (Toplam/Birim İçi): 9999/1
- DETAYLI İÇERİK: Performans: Performans ölçümü, Performans ölçütleri, SPEC testleri, Performans karşılaştırma ve özetleme; MIPS Komut Seti Mimarisi; Bilgisayar Aritmetiği: ALU tasarımı, Tamsayı çarpımı ve bölümü, Kayar sayı işlemleri; İşlemci: Tek çevrim veriyolu tasarımı, Tek çevrim veriyolu için kontrollör tasarımı; Ardışık düzen: Ardışık düzen veriyolu ve kontrolörü, Veri riskleri ve iletim, Veri riskleri ve gecikmeler, Dallanma riskleri; Önbellek: Önbellek temelleri, Önbellek performansını ölçme ve geliştirme.
---
"
BİM437,Bilgisayar Mühendisliği için Tasarım,2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Bilgisayar Mühendisliği için Tasarım
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 9/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM444,Bilgisayar Mühendisliği Uygulamaları,2024-2025,BAHAR,"DERS KODU: BİM444 | DERS ADI: Bilgisayar Mühendisliği Uygulamaları
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 9/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM437,Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım),2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 9/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM444,Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları),2024-2025,BAHAR,"DERS KODU: BİM444 | DERS ADI: Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 9/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM454,Programlama Dili Kavramları,2024-2025,BAHAR,"DERS KODU: BİM454 | DERS ADI: Programlama Dili Kavramları
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 70/0
- DETAYLI İÇERİK: Giriş; Programlama Dillerinin Gelişim Süreci; Programlama Dillerinin Sentaks ve Semantiği; Programlama Dillerinin Tanımı için Kullanılan Formel Yöntemler; Liksiksel ve Sentaks Analizi; Parselleme Problemi; İsimler; Bağlantılar; Tipin Kontrolü ve Etkinlik Alanları; Veri Tipleri; İfadeler ve Atama Komutları; Kontrol Yapıları; Alt Program Mekanizması; Soyut Veri Tipleri Oluşturma İlkeleri ve Örnekler; Nesneye Yönelik Programlama; Uyumlu (Concurrent) Seviyeler; İstisnaların Oluşturulması; Fonksiyonel ve Mantıksal Programlama Dilleri.
---
"
